date,hour,forecast_base,forecast_hour,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,precipitacao_total,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-21,22,2025-10-17T06:00:00,112,16.796659469604492,18.11083984375,15.570831298828123,80.0,86.5999984741211,72.80000305175781,0.0,1,294,10,4,0,0.0,1
2025-10-21,23,2025-10-17T06:00:00,113,15.67968463897705,16.85260009765625,14.73260498046875,82.5,86.0999984741211,77.5,0.0,1,294,10,4,0,0.0,1
2025-10-22,0,2025-10-17T06:00:00,114,15.23314380645752,16.334808349609375,14.274810791015623,82.75000762939453,85.70000457763672,76.20000457763672,0.0,2,295,10,4,0,0.0,1
2025-10-22,1,2025-10-17T06:00:00,115,15.160304069519045,16.76739501953125,13.88739013671875,81.39999389648438,88.30000305175781,71.30000305175781,0.0,2,295,10,4,0,0.0,1
2025-10-22,2,2025-10-17T06:00:00,116,14.77640151977539,16.392242431640625,13.072235107421877,82.9000015258789,90.1999969482422,71.30000305175781,0.0,2,295,10,4,0,0.0,1
2025-10-22,3,2025-10-17T06:00:00,117,14.181857109069824,15.398529052734377,13.018524169921877,83.69999694824219,93.5999984741211,74.5999984741211,0.0,2,295,10,4,0,0.0,1
2025-10-22,4,2025-10-17T06:00:00,118,13.68008518218994,15.08758544921875,12.497589111328123,83.9000015258789,97.4000015258789,75.9000015258789,0.0,2,295,10,4,0,0.0,1
2025-10-22,5,2025-10-17T06:00:00,119,13.267074584960938,14.833740234375,12.083740234375,84.1500015258789,98.0999984741211,75.9000015258789,0.0,2,295,10,4,0,0.0,1
2025-10-22,6,2025-10-17T06:00:00,120,12.965415000915527,14.642913818359377,11.67291259765625,83.94999694824219,98.3000030517578,74.80000305175781,0.0,2,295,10,4,0,0.0,1
2025-10-17,7,2025-10-17T06:00:00,1,18.08531379699707,19.50823974609375,16.87823486328125,97.6999969482422,99.0999984741211,95.0,2.6875,4,290,10,4,0,2.6875,2
2025-10-17,8,2025-10-17T06:00:00,2,18.03512382507324,19.167633056640625,17.037628173828125,97.6999969482422,98.8000030517578,94.5999984741211,5.375,4,290,10,4,0,5.375,2
2025-10-17,9,2025-10-17T06:00:00,3,18.04701805114746,19.167022705078125,17.037017822265625,97.64999389648438,98.8000030517578,94.3000030517578,6.9375,4,290,10,4,0,6.9375,2
2025-10-17,10,2025-10-17T06:00:00,4,18.66286849975586,19.7432861328125,17.643280029296875,96.8000030517578,97.9000015258789,93.8000030517578,9.1875,4,290,10,4,0,9.1875,2
2025-10-17,11,2025-10-17T06:00:00,5,19.36100196838379,20.647247314453125,18.3072509765625,95.0999984741211,97.3000030517578,92.9000015258789,13.375,4,290,10,4,0,13.375,2
2025-10-17,12,2025-10-17T06:00:00,6,19.669404983520508,21.155242919921875,18.4952392578125,95.40000915527344,97.60000610351562,91.20000457763672,21.4375,4,290,10,4,0,21.4375,2
2025-10-17,13,2025-10-17T06:00:00,7,19.97661018371582,21.55160522460937,18.5216064453125,94.95001220703124,98.70000457763672,90.20000457763672,18.375,4,290,10,4,0,18.375,2
2025-10-17,14,2025-10-17T06:00:00,8,20.09589958190918,21.69174194335937,18.3917236328125,94.8000030517578,98.5999984741211,89.0,34.0625,4,290,10,4,0,34.0625,2
2025-10-17,15,2025-10-17T06:00:00,9,20.124963760375977,21.92913818359375,18.42913818359375,94.6999969482422,98.9000015258789,89.5999984741211,56.75,4,290,10,4,0,56.75,2
2025-10-17,16,2025-10-17T06:00:00,10,20.203594207763672,22.0535888671875,18.5535888671875,94.14999389648438,98.9000015258789,90.0,80.75,4,290,10,4,0,80.75,2
2025-10-17,17,2025-10-17T06:00:00,11,20.33936309814453,22.28936767578125,18.58935546875,93.70000457763672,98.60000610351562,89.20000457763672,104.25,4,290,10,4,0,104.25,2
2025-10-17,18,2025-10-17T06:00:00,12,20.02698135375977,21.926971435546875,18.72698974609375,94.1999969482422,98.8000030517578,90.0,131.625,4,290,10,4,0,131.625,2
2025-10-17,19,2025-10-17T06:00:00,13,19.739931106567383,21.14410400390625,18.444091796875,95.3000030517578,98.6999969482422,90.0999984741211,23.4375,4,290,10,4,0,23.4375,2
2025-10-17,20,2025-10-17T06:00:00,14,19.27500343322754,20.350006103515625,17.95001220703125,96.5500030517578,99.3000030517578,91.4000015258789,49.3125,4,290,10,4,0,49.3125,2
2025-10-17,21,2025-10-17T06:00:00,15,18.78329849243164,19.42913818359375,17.92913818359375,97.0500030517578,99.5999984741211,94.0999984741211,67.0625,4,290,10,4,0,67.0625,2
2025-10-17,22,2025-10-17T06:00:00,16,18.3179988861084,18.89300537109375,17.792999267578125,97.64999389648438,99.5999984741211,95.8000030517578,80.4375,4,290,10,4,0,80.4375,2
2025-10-17,23,2025-10-17T06:00:00,17,18.17434883117676,18.67266845703125,17.412689208984375,97.3000030517578,99.3000030517578,95.9000015258789,88.25,4,290,10,4,0,88.25,2
2025-10-18,0,2025-10-17T06:00:00,18,18.007356643676758,18.51318359375,16.793182373046875,97.1500015258789,99.4000015258789,93.8000030517578,95.3125,5,291,10,4,0,95.3125,2
